Extra,Giorno,Ora,Classe,Aula,Piano
,Venerdì,1°,5A_EN,7,
,Venerdì,2°,5A_EN,7,
,venerdì,3°,5A_EN,7,
,venerdì,4°,5A_EN,38,
,venerdì,5°,5A_EN,32,
,venerdì,6°,5A_EN,32,
,Lunedì,1°,5A_ET,Lab. TDP,
,Lunedì,2°,5A_ET,Lab. TDP,
,lunedì,3°,5A_ET,Lab. TDP,
,lunedì,4°,5A_ET,36,
,lunedì,5°,5A_ET,36,
,lunedì,6°,5A_ET,36,
,Martedì,1°,5A_ET,20,
,Martedì,2°,5A_ET,20,
,martedì,3°,5A_ET,42,
,martedì,4°,5A_ET,42,
,martedì,5°,5A_ET,42,
,martedì,6°,5A_ET,27,
,martedì,7°,5A_ET,27,
,Mercoledì,1°,5A_ET,35,
,Mercoledì,2°,5A_ET,35,
,mercoledì,3°,5A_ET,38,
,mercoledì,4°,5A_ET,38,
,mercoledì,5°,5A_ET,38,
,mercoledì,6°,5A_ET,38,
,Giovedì,1°,5A_ET,47,
,Giovedì,2°,5A_ET,47,
,giovedì,3°,5A_ET,48,
,giovedì,4°,5A_ET,48,
,giovedì,5°,5A_ET,Lab. EN,
,giovedì,6°,5A_ET,Lab. EN,
,giovedì,7°,5A_ET,Lab. EN,
,Venerdì,1°,5A_ET,Lab. SIS,
,Venerdì,2°,5A_ET,Lab. SIS,
,venerdì,3°,5A_ET,Lab. SIS,
,venerdì,4°,5A_ET,44,
,venerdì,5°,5A_ET,Lab. EN,
,venerdì,6°,5A_ET,Lab. EN,
,Lunedì,1°,5B_OD,29,
,Lunedì,2°,5B_OD,29,
,lunedì,3°,5B_OD,28,
,lunedì,4°,5B_OD,28,
,lunedì,5°,5B_OD,26,
,lunedì,6°,5B_OD,26,
,Martedì,1°,5B_OD,44,
,Martedì,2°,5B_OD,32,
,martedì,3°,5B_OD,32,
,martedì,4°,5B_OD,32,
,martedì,5°,5B_OD,Lab. OD1,
,martedì,6°,5B_OD,Lab. OD1,
,martedì,7°,5B_OD,Lab. OD1,
,Mercoledì,1°,5B_OD,23,
,Mercoledì,2°,5B_OD,23,
,mercoledì,3°,5B_OD,23,
,mercoledì,4°,5B_OD,20,
,mercoledì,5°,5B_OD,20,
,mercoledì,6°,5B_OD,20,
,Giovedì,1°,5B_OD,Lab. OD1,
,Giovedì,2°,5B_OD,Lab. OD1,
,giovedì,3°,5B_OD,Lab. OD1,
,giovedì,4°,5B_OD,29,
,giovedì,5°,5B_OD,29,
,giovedì,6°,5B_OD,27,
,giovedì,7°,5B_OD,27,
,Venerdì,1°,5B_OD,Lab. OD1,
,Venerdì,2°,5B_OD,Lab. OD1,
,venerdì,3°,5B_OD,22,
,venerdì,4°,5B_OD,22,
,venerdì,5°,5B_OD,23,
,venerdì,6°,5B_OD,23,
,,,1A_aer,30,PRIMO
,,,1A_en,39,PRIMO
,,,1A_inf,7,TERRA
,,,1A_mec,31,PRIMO
,,,1A_od,25,PRIMO
,,,1B_inf,16,TERRA
,,,1B_mec,40,PRIMO
,,,1B_od,28,PRIMO
,,,1C_inf,13,TERRA
,,,1C_mec,3,TERRA
,,,1D_inf,12,TERRA
,,,1F_idd,56,LAB. TERRA
,,,2A_aer,9,PRIMO
,,,2A_en,5,TERRA
,,,2A_inf,10,TERRA
,,,2A_mec,33,PRIMO
,,,2A_od,21,TERRA
,,,2B_inf,15,TERRA
,,,2B_mec,34,PRIMO
,,,2B_od,17,TERRA
,,,2C_inf,8,TERRA
,,,2D_inf,19,TERRA
,,,2E_inf,41,TERRA
,,,2F_idd,53,LAB. TERRA
,,,3A_et,48,LAB. 1PIANO
,,,3A_inf,35,PRIMO
,,,3A_mec,29,PRIMO
,,,3A_od,22,TERRA
,,,3B_inf,14,TERRA
,,,3B_mec,26,PRIMO
,,,3B_od,47,LAB. 1PIANO
,,,3C_tlc,42,PRIMO
,,,3E_inf,11,TERRA
,,,3F_idd,54,LAB. TERRA
,,,3G_idd,55,LAB. TERRA
,,,4A_aer,43,PRIMO
,,,4A_et,36,PRIMO
,,,4A_inf,Classe itinerante,
,,,4A_mec,27,PRIMO
,,,4A_od,23,TERRA
,,,4B_inf,60,LAB. TERRA
,,,4B_mec,44,PRIMO
,,,4B_od,20,TERRA
,,,4C_tlc,32,PRIMO
,,,4E_inf,6,TERRA
,,,4F_idd,2,TERRA
,,,5A_en,Classe itinerante,
,,,5A_et,Classe itinerante,
,,,5A_inf,Classe itinerante,
,,,5A_mec,37,PRIMO
,,,5A_od,18,TERRA
,,,5B_inf,Classe itinerante,
,,,5B_mec,1,TERRA
,,,5B_od,Classe itinerante,
,,,5C_tlc,Classe itinerante,
,,,5D_tlc,38,PRIMO
,,,5F_idd,4,TERRA
,Lunedì,7°,1A_aer,Esce ore 13.40,
,Lunedì,7°,1A_en,Esce ore 13.40,
,Lunedì,7°,1A_inf,Esce ore 13.40,
,Lunedì,7°,1A_mec,Esce ore 13.40,
,Lunedì,7°,1A_od,Esce ore 13.40,
,Lunedì,7°,1B_inf,Esce ore 13.40,
,Lunedì,7°,1B_mec,Esce ore 13.40,
,Lunedì,7°,1B_od,Esce ore 13.40,
,Lunedì,7°,1C_inf,Esce ore 13.40,
,Lunedì,7°,1C_mec,Esce ore 13.40,
,Lunedì,7°,1D_inf,Esce ore 13.40,
,Lunedì,7°,1F_idd,Esce ore 13.40,
,Lunedì,7°,2A_aer,Esce ore 13.40,
,Lunedì,7°,2A_en,Esce ore 13.40,
,Lunedì,7°,2A_inf,Esce ore 13.40,
,Lunedì,7°,2A_mec,Esce ore 13.40,
,Lunedì,7°,2A_od,Esce ore 13.40,
,Lunedì,7°,2B_inf,Esce ore 13.40,
,Lunedì,7°,2B_mec,Esce ore 13.40,
,Lunedì,7°,2B_od,Esce ore 13.40,
,Lunedì,7°,2C_inf,Esce ore 13.40,
,Lunedì,7°,2D_inf,Esce ore 13.40,
,Lunedì,7°,2E_inf,Esce ore 13.40,
,Lunedì,7°,2F_idd,Esce ore 13.40,
,Lunedì,7°,3A_et,Esce ore 13.40,
,Lunedì,7°,3A_inf,Esce ore 13.40,
,Lunedì,7°,3A_mec,Esce ore 13.40,
,Lunedì,7°,3A_od,Esce ore 13.40,
,Lunedì,7°,3B_inf,Esce ore 13.40,
,Lunedì,7°,3B_mec,Esce ore 13.40,
,Lunedì,7°,3B_od,Esce ore 13.40,
,Lunedì,7°,3C_tlc,Esce ore 13.40,
,Lunedì,7°,3E_inf,Esce ore 13.40,
,Lunedì,7°,3F_idd,Esce ore 13.40,
,Lunedì,7°,3G_idd,Esce ore 13.40,
,Lunedì,7°,4A_aer,Esce ore 13.40,
,Lunedì,7°,4A_et,Esce ore 13.40,
,Lunedì,7°,4A_inf,Esce ore 13.40,
,Lunedì,7°,4A_mec,Esce ore 13.40,
,Lunedì,7°,4A_od,Esce ore 13.40,
,Lunedì,7°,4B_inf,Esce ore 13.40,
,Lunedì,7°,4B_mec,Esce ore 13.40,
,Lunedì,7°,4B_od,Esce ore 13.40,
,Lunedì,7°,4C_tlc,Esce ore 13.40,
,Lunedì,7°,4E_inf,Esce ore 13.40,
,Lunedì,7°,4F_idd,Esce ore 13.40,
,Lunedì,7°,5A_en,Esce ore 13.40,
,Lunedì,7°,5A_et,Esce ore 13.40,
,Lunedì,7°,5A_inf,Esce ore 13.40,
,Lunedì,7°,5A_mec,Esce ore 13.40,
,Lunedì,7°,5A_od,Esce ore 13.40,
,Lunedì,7°,5B_inf,Esce ore 13.40,
